ZIP_CODE,COUNTY,CITY,POPULATION
11414,QUEENS,HOWARD BEACH,26148
11415,QUEENS,KEW GARDENS,19341
11416,QUEENS,OZONE PARK,24861
11417,QUEENS,OZONE PARK,28967
11418,QUEENS,RICHMOND HILL,36256
11419,QUEENS,SOUTH RICHMOND HILL,47211
11420,QUEENS,SOUTH OZONE PARK,44354
11421,QUEENS,WOODHAVEN,39127
11422,QUEENS,ROSEDALE,30425
11423,QUEENS,HOLLIS,29987
11426,QUEENS,BELLEROSE,17590
11427,QUEENS,QUEENS VILLAGE,23593
11428,QUEENS,QUEENS VILLAGE,19168
11429,QUEENS,QUEENS VILLAGE,25105
11430,QUEENS,JAMAICA,184
11432,QUEENS,JAMAICA,60809
11433,QUEENS,JAMAICA,32687
11434,QUEENS,JAMAICA,59129
11435,QUEENS,JAMAICA,53687
11436,QUEENS,JAMAICA,17949
11691,QUEENS,FAR ROCKAWAY,60035
11692,QUEENS,ARVERNE,18540
11693,QUEENS,FAR ROCKAWAY,11916
11694,QUEENS,ROCKAWAY PARK,20408
11697,QUEENS,BREEZY POINT,4079
