MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,ZIP_CODE,COUNTY,CITY,POPULATION,PER_THOUSAND,PER_THOUSAND_SCALED
11239,East New York,Brooklyn,603,4857.67,12413.37,89,716.97,12.99,4642,11239,KINGS,BROOKLYN,13393,45.02351974912268,0.8359223424083585
11354,Flushing/Murray Hill,Queens,1552,2795.47,55518.32,302,543.96,8.68,17882,11354,QUEENS,FLUSHING,54878,28.280914027479135,0.44970130713763035
11355,Flushing/Murray Hill/Queensboro Hill,Queens,1674,2092.13,80013.97,171,213.71,8.08,20727,11355,QUEENS,FLUSHING,85871,19.494357815793457,0.24701166055802007
11356,College Point,Queens,703,3014.23,23322.74,42,180.08,10.41,6756,11356,QUEENS,COLLEGE POINT,23438,29.99402679409506,0.48921965913481
11357,Whitestone,Queens,981,2454.0,39975.56,107,267.66,8.52,11518,11357,QUEENS,WHITESTONE,39150,25.057471264367816,0.3753424276535725
11358,Auburndale/Murray Hill,Queens,695,1955.46,35541.5,43,120.99,6.65,10450,11358,QUEENS,FLUSHING,37546,18.510626964257177,0.22431880412785618
11360,Bayside (North),Queens,380,2014.51,18863.17,28,148.44,6.59,5765,11360,QUEENS,BAYSIDE,18884,20.122855327261174,0.26150993899686215
11361,Bayside (North)/Bayside (South),Queens,543,1941.23,27971.99,58,207.35,6.94,7822,11361,QUEENS,BAYSIDE,28606,18.98203174159267,0.23519324291958618
11362,Douglaston-Little Neck,Queens,381,2147.93,17738.01,36,202.95,7.46,5107,11362,QUEENS,LITTLE NECK,17823,21.376872580373675,0.2904378042166924
11363,Douglaston-Little Neck,Queens,118,1648.27,7159.03,5,69.84,6.05,1949,11363,QUEENS,LITTLE NECK,6988,16.88609044075558,0.18684374269636092
11364,Bayside (South)/Oakland Gardens,Queens,570,1649.18,34562.6,35,101.27,6.4,8905,11364,QUEENS,OAKLAND GARDENS,34555,16.49544204890754,0.17783220477718545
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,Queens,1058,2401.77,44050.79,69,156.64,8.6,12308,11365,QUEENS,FRESH MEADOWS,42252,25.04023478178548,0.37494481378999267
11366,Fresh Meadows/Hillcrest,Queens,470,3411.39,13777.39,29,210.49,11.93,3941,11366,QUEENS,FRESH MEADOWS,13532,34.73248595920781,0.5985271728375375
11367,Kew Gardens Hills/Pomonok,Queens,1347,3204.15,42039.24,67,159.37,10.69,12598,11367,QUEENS,FLUSHING,41047,32.816040149097375,0.5543183025381991
11368,Corona/North Corona,Queens,5291,4741.29,111594.1,447,400.56,14.61,36205,11368,QUEENS,CORONA,109931,48.13019075601969,0.9075875128410728
11369,Airport/East Elmhurst,Queens,1811,4966.78,36462.23,182,499.15,13.8,13120,11369,QUEENS,EAST ELMHURST,38615,46.898873494755925,0.8791832945671371
11370,Jackson Heights/Rikers Island,Queens,1509,4606.42,32758.65,64,195.37,13.59,11104,11370,QUEENS,EAST ELMHURST,39688,38.02156823221125,0.6744002347545263
11372,Jackson Heights,Queens,2960,4731.24,62562.88,263,420.38,12.44,23799,11372,QUEENS,JACKSON HEIGHTS,66636,44.4204333993637,0.8220102526038159
11373,Elmhurst,Queens,3731,4017.19,92875.81,299,321.94,11.9,31366,11373,QUEENS,ELMHURST,100820,37.00654632017457,0.6509855512693562
11374,Rego Park,Queens,1377,3274.86,42047.63,101,240.2,10.2,13505,11374,QUEENS,REGO PARK,43600,31.58256880733945,0.5258643936000774
11375,Forest Hills,Queens,1820,2579.62,70552.99,186,263.63,8.26,22030,11375,QUEENS,FOREST HILLS,68733,26.47927487524188,0.4081408146951766
11377,Woodside,Queens,2683,3102.86,86468.55,197,227.83,9.24,29044,11377,QUEENS,WOODSIDE,89830,29.867527552042745,0.486301554925783
11378,Maspeth,Queens,889,2569.85,34593.45,74,213.91,8.54,10404,11378,QUEENS,MASPETH,34981,25.413796060718674,0.3835621835283318
11379,Middle Village,Queens,976,2696.46,36195.55,102,281.8,8.78,11122,11379,QUEENS,MIDDLE VILLAGE,34821,28.029062921800065,0.44389156662372076
11385,Glendale/Ridgewood,Queens,2655,2579.43,102929.91,145,140.87,9.32,28474,11385,QUEENS,RIDGEWOOD,98592,26.929162609542356,0.418518894988408
11411,Cambria Heights,Queens,765,3732.75,20494.26,50,243.97,14.41,5310,11411,QUEENS,CAMBRIA HEIGHTS,18556,41.2265574477258,0.7483334249297792
11412,St. Albans,Queens,1376,3497.1,39346.92,90,228.73,13.13,10476,11412,QUEENS,SAINT ALBANS,34882,39.44727939911703,0.7072887619069971
11413,Laurelton/Rosedale,Queens,1484,3399.93,43647.97,104,238.27,13.22,11222,11413,QUEENS,SPRINGFIELD GARDENS,38912,38.13733552631579,0.6770707727175475
11414,Hamilton Beach/Howard Beach/Lindenwood,Queens,959,3392.82,28265.56,63,222.89,12.11,7920,11414,QUEENS,HOWARD BEACH,26148,36.67584518892458,0.6433568860902282
11415,Kew Gardens,Queens,666,3462.57,19234.25,53,275.55,9.99,6664,11415,QUEENS,KEW GARDENS,19341,34.434620753839,0.5916559719085237
11416,Ozone Park,Queens,889,3340.29,26614.42,57,214.17,12.8,6943,11416,QUEENS,OZONE PARK,24861,35.75881903382808,0.6222027839821044
11417,Ozone Park,Queens,1013,3239.46,31270.63,49,156.7,11.32,8952,11417,QUEENS,OZONE PARK,28967,34.9708288742362,0.6040253043065662
11418,Richmond Hill,Queens,1289,3382.74,38105.16,106,278.18,12.64,10201,11418,QUEENS,RICHMOND HILL,36256,35.5527360988526,0.6174488307551602
11419,Richmond Hill/South Ozone Park,Queens,1417,2786.69,50848.81,99,194.69,12.95,10943,11419,QUEENS,SOUTH RICHMOND HILL,47211,30.01419160788799,0.48968482419863757
11420,South Ozone Park,Queens,1592,3288.19,48415.71,108,223.07,13.69,11626,11420,QUEENS,SOUTH OZONE PARK,44354,35.89304234116427,0.6252990681315799
11421,Woodhaven,Queens,1411,3342.85,42209.49,103,244.02,13.05,10809,11421,QUEENS,WOODHAVEN,39127,36.062054335880596,0.629197863137433
11422,Rosedale,Queens,1110,3291.66,33721.62,67,198.69,12.83,8654,11422,QUEENS,ROSEDALE,30425,36.48315529991783,0.6389118857327162
11423,Hollis/Holliswood,Queens,1255,3916.84,32041.14,108,337.07,13.61,9219,11423,QUEENS,HOLLIS,29987,41.85146896988695,0.7627489812090316
11426,Bellerose,Queens,580,2848.26,20363.28,34,166.97,11.58,5009,11426,QUEENS,BELLEROSE,17590,32.97328027288232,0.5579455421927657
11427,Bellerose/Hollis Hills/Holliswood,Queens,898,3868.63,23212.38,52,224.02,12.71,7064,11427,QUEENS,QUEENS VILLAGE,23593,38.06213707455601,0.6753360831254804
11428,Queens Village,Queens,748,3870.14,19327.45,55,284.57,14.17,5280,11428,QUEENS,QUEENS VILLAGE,19168,39.023372287145236,0.6975100066542993
11429,Queens Village,Queens,1102,3930.61,28036.33,76,271.08,13.36,8247,11429,QUEENS,QUEENS VILLAGE,25105,43.89563831905995,0.8099041979914275
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,2236,3538.23,63195.4,259,409.84,12.84,17411,11432,QUEENS,JAMAICA,60809,36.7708727326547,0.6455489962628542
11433,Jamaica,Queens,1105,3066.4,36035.76,81,224.78,11.77,9387,11433,QUEENS,JAMAICA,32687,33.80548842047297,0.5771430492993025
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,2340,3464.81,67536.11,201,297.62,12.84,18226,11434,QUEENS,JAMAICA,59129,39.57448967511712,0.710223268357825
11435,Briarwood/Jamaica,Queens,1945,3373.0,57663.84,150,260.13,12.65,15375,11435,QUEENS,JAMAICA,53687,36.22850969508447,0.6330376812772684
11436,South Jamaica/South Ozone Park,Queens,612,2941.26,20807.42,47,225.88,12.41,4933,11436,QUEENS,JAMAICA,17949,34.09660705331773,0.5838586192430273
11691,Edgemere/Far Rockaway,Queens,3130,4833.3,64759.02,379,585.25,13.72,22821,11691,QUEENS,FAR ROCKAWAY,60035,52.13625385191972,1.0
11692,Arverne/Edgemere,Queens,742,3687.83,20120.24,95,472.16,11.28,6580,11692,QUEENS,ARVERNE,18540,40.021574973031285,0.7205367016122145
11693,Arverne/Broad Channel,Queens,369,2980.31,12381.27,29,234.22,10.92,3378,11693,QUEENS,FAR ROCKAWAY,11916,30.966767371601208,0.5116589902126842
11694,Belle Harbor-Neponsit/Rockaway Park,Queens,833,4092.2,20355.78,90,442.13,12.21,6820,11694,QUEENS,ROCKAWAY PARK,20408,40.817326538612306,0.7388932226094034
11697,Breezy Point,Queens,126,3562.65,3536.69,5,141.38,6.69,1884,11697,QUEENS,BREEZY POINT,4079,30.88992400098063,0.5098863553762558
